x_values,temperature,ligth
0,0,0
1,38.4568480275395,11.391166894489999
2,38.4568480275395,11.94683357227
3,45.240247498613044,11.669000233380002
4,35.62153567605898,8.61283350559
5,42.41747785291211,11.94683357227
6,37.89020620360529,13.61383360561
7,44.11176250511376,15.558666977839998
8,35.053841063696694,14.16950028339
9,40.15551529671006,13.33600026672
10,40.15551529671006,13.61383360561
11,34.485935188608,9.16850018337
12,35.62153567605898,11.391166894489999
13,40.15551529671006,13.33600026672
14,37.89020620360529,11.1133335556
15,46.367904139568495,12.50250025005
16,41.286913965126885,11.1133335556
17,41.85230014112286,9.44633352226
18,36.75629205455043,9.44633352226
19,36.75629205455043,9.44633352226
20,38.4568480275395,10.27983353893
21,38.4568480275395,10.27983353893
22,36.75629205455043,11.1133335556
23,36.75629205455043,11.1133335556
24,42.41747785291211,11.391166894489999
25,42.41747785291211,11.391166894489999
26,32.21219433369244,9.44633352226
27,32.21219433369244,9.44633352226
28,41.286913965126885,8.61283350559
29,41.286913965126885,8.61283350559
30,36.75629205455043,11.1133335556
31,36.75629205455043,11.1133335556
32,35.62153567605898,11.391166894489999
33,35.62153567605898,11.391166894489999
34,39.02327999578189,10.835500216709999
35,34.485935188608,9.16850018337
36,39.58950234131983,11.391166894489999
37,42.41747785291211,10.835500216709999
38,48.05783992259574,11.391166894489999
39,44.11176250511376,10.835500216709999
40,46.93142239730855,11.94683357227
41,46.93142239730855,11.94683357227
42,38.4568480275395,13.058166927830001
43,38.4568480275395,13.058166927830001
44,36.18901926129106,11.669000233380002
45,36.18901926129106,11.669000233380002
46,34.485935188608,10.557666877820001
47,34.485935188608,10.557666877820001
48,39.58950234131983,11.1133335556
49,39.58950234131983,11.1133335556
50,40.15551529671006,4.72316676113
51,40.15551529671006,4.72316676113
52,40.15551529671006,11.669000233380002
53,40.15551529671006,11.669000233380002
54,36.75629205455043,11.1133335556
55,36.75629205455043,11.1133335556
56,39.58950234131983,9.72416686115
57,39.58950234131983,9.72416686115
58,32.21219433369244,10.002000200040001
59,32.21219433369244,10.002000200040001
60,36.75629205455043,11.669000233380002
61,36.75629205455043,11.669000233380002
62,36.75629205455043,11.669000233380002
63,36.75629205455043,11.669000233380002
64,36.18901926129106,11.669000233380002
65,36.18901926129106,11.669000233380002
66,33.917817814758266,10.557666877820001
67,33.917817814758266,10.557666877820001
68,37.323354290559834,10.27983353893
69,37.323354290559834,10.27983353893
70,36.18901926129106,11.1133335556
71,36.18901926129106,11.1133335556
72,37.323354290559834,11.1133335556
73,37.323354290559834,11.1133335556
74,36.18901926129106,12.22466691116
75,36.18901926129106,12.22466691116
76,34.485935188608,11.1133335556
77,34.485935188608,11.1133335556
78,36.75629205455043,11.669000233380002
79,36.75629205455043,11.669000233380002
80,36.18901926129106,10.835500216709999
81,36.18901926129106,10.835500216709999
82,36.18901926129106,10.835500216709999
83,36.18901926129106,10.835500216709999
84,36.18901926129106,11.669000233380002
85,36.18901926129106,11.669000233380002
86,37.323354290559834,11.391166894489999
87,37.323354290559834,11.391166894489999
88,35.62153567605898,10.835500216709999
89,35.62153567605898,10.835500216709999
90,36.18901926129106,10.835500216709999
91,36.18901926129106,10.835500216709999
92,36.18901926129106,11.391166894489999
93,36.18901926129106,11.391166894489999
94,35.053841063696694,11.391166894489999
95,35.053841063696694,11.391166894489999
96,36.18901926129106,11.391166894489999
97,36.18901926129106,11.391166894489999
98,35.053841063696694,10.835500216709999
99,35.053841063696694,10.835500216709999
100,38.4568480275395,11.669000233380002
